adm_code,big_region,small_region,longitude,latitude
1100000000,서울특별시,,126.9800083,37.56356944
1111000000,서울특별시,종로구,126.9816417,37.57037778
1114000000,서울특별시,중구,126.9996417,37.56100278
1117000000,서울특별시,용산구,126.9675222,37.53609444
1120000000,서울특별시,성동구,127.039,37.56061111
1121500000,서울특별시,광진구,127.0845333,37.53573889
1123000000,서울특별시,동대문구,127.0421417,37.571625
1126000000,서울특별시,중랑구,127.0947778,37.60380556
1129000000,서울특별시,성북구,127.0203333,37.58638333
1130500000,서울특별시,강북구,127.0277194,37.63695556
1132000000,서울특별시,도봉구,127.0495222,37.66583333
1135000000,서울특별시,노원구,127.0583889,37.65146111
1138000000,서울특별시,은평구,126.9312417,37.59996944
1141000000,서울특별시,서대문구,126.9388972,37.57636667
1144000000,서울특별시,마포구,126.9105306,37.56070556
1147000000,서울특별시,양천구,126.8687083,37.51423056
1150000000,서울특별시,강서구,126.851675,37.54815556
1153000000,서울특별시,구로구,126.8895972,37.49265
1154500000,서울특별시,금천구,126.9041972,37.44910833
1156000000,서울특별시,영등포구,126.8983417,37.52361111
1159000000,서울특별시,동작구,126.941575,37.50965556
1162000000,서울특별시,관악구,126.9538444,37.47538611
1165000000,서울특별시,서초구,127.0348111,37.48078611
1168000000,서울특별시,강남구,127.0495556,37.514575
1171000000,서울특별시,송파구,127.1079306,37.51175556
1174000000,서울특별시,강동구,127.1258639,37.52736667
2600000000,부산광역시,,129.0769528,35.17701944
2611000000,부산광역시,중구,129.0345083,35.10321667
2614000000,부산광역시,서구,129.0263778,35.09483611
2617000000,부산광역시,동구,129.059175,35.13589444
2620000000,부산광역시,영도구,129.0701861,35.08811667
2623000000,부산광역시,부산진구,129.0553194,35.15995278
2626000000,부산광역시,동래구,129.0858556,35.20187222
2629000000,부산광역시,남구,129.0865,35.13340833
2632000000,부산광역시,북구,128.992475,35.19418056
2635000000,부산광역시,해운대구,129.1658083,35.16001944
2638000000,부산광역시,사하구,128.9770417,35.10142778
2641000000,부산광역시,금정구,129.0943194,35.24007778
2644000000,부산광역시,강서구,128.9829083,35.20916389
2647000000,부산광역시,연제구,129.082075,35.17318611
2650000000,부산광역시,수영구,129.115375,35.14246667
2653000000,부산광역시,사상구,128.9933333,35.14946667
2671000000,부산광역시,기장군,129.224475,35.24135
2700000000,대구광역시,,128.6035528,35.86854167
2711000000,대구광역시,중구,128.6083972,35.86628611
2714000000,대구광역시,동구,128.6377111,35.88361667
2717000000,대구광역시,서구,128.5614111,35.86879444
2720000000,대구광역시,남구,128.5998,35.84297778
2723000000,대구광역시,북구,128.5850222,35.8827
2726000000,대구광역시,수성구,128.6328667,35.85520833
2729000000,대구광역시,달서구,128.5350639,35.82692778
2771000000,대구광역시,달성군,128.433275,35.77168056
2800000000,인천광역시,,126.7073528,37.45323333
2811000000,인천광역시,중구,126.6235667,37.47093333
2814000000,인천광역시,동구,126.6453667,37.47103611
2817700000,인천광역시,미추홀구,126.6526861,37.46068056
2818500000,인천광역시,연수구,126.6804417,37.40712222
2820000000,인천광역시,남동구,126.7337972,37.44451944
2823700000,인천광역시,부평구,126.7241,37.50426667
2824500000,인천광역시,계양구,126.7397528,37.53479167
2826000000,인천광역시,서구,126.6782,37.54269167
2871000000,인천광역시,강화군,126.49,37.74385833
2872000000,인천광역시,옹진군,126.6388889,37.443725
2900000000,광주광역시,,126.8533639,35.156975
2911000000,광주광역시,동구,126.9251778,35.1431
2914000000,광주광역시,서구,126.8934111,35.14948333
2915500000,광주광역시,남구,126.9101444,35.11903611
2917000000,광주광역시,북구,126.9141222,35.171125
2920000000,광주광역시,광산구,126.7957889,35.13642778
3000000000,대전광역시,,127.3865667,36.34711944
3011000000,대전광역시,동구,127.4348528,36.32413333
3014000000,대전광역시,중구,127.4231111,36.32263056
3017000000,대전광역시,서구,127.385775,36.35248333
3020000000,대전광역시,유성구,127.3583417,36.35936667
3023000000,대전광역시,대덕구,127.4176861,36.34379444
3100000000,울산광역시,,129.3136889,35.53540833
3111000000,울산광역시,중구,129.334875,35.56634167
3114000000,울산광역시,남구,129.3323861,35.54076389
3117000000,울산광역시,동구,129.4189528,35.50188889
3120000000,울산광역시,북구,129.3635444,35.57968889
3171000000,울산광역시,울주군,129.2971639,35.53073889
3600000000,세종특별자치시,,127.2890691,36.4800121
3611000000,세종특별자치시,세종특별자치시,127.2890691,36.4800121
4100000000,경기도,,127.0116889,37.27184444
4111100000,경기도,수원시 장안구,127.0122222,37.30101111
4111300000,경기도,수원시 권선구,126.974075,37.25473333
4111500000,경기도,수원시 팔달구,127.0378333,37.28310278
4111700000,경기도,수원시 영통구,127.0486333,37.25631111
4113100000,경기도,성남시 수정구,127.1477194,37.44749167
4113300000,경기도,성남시 중원구,127.1394194,37.42766944
4113500000,경기도,성남시 분당구,127.1210194,37.37996944
4115000000,경기도,의정부시,127.0358417,37.73528889
4117100000,경기도,안양시 만안구,126.9345,37.38377778
4117300000,경기도,안양시 동안구,126.9533556,37.3897
4119000000,경기도,부천시,126.766,37.5035917
4121000000,경기도,광명시,126.8667083,37.47575
4122000000,경기도,평택시,127.1146556,36.98943889
4125000000,경기도,동두천시,127.0626528,37.90091667
4127100000,경기도,안산시 상록구,126.8468194,37.29851944
4127300000,경기도,안산시 단원구,126.8144194,37.31672778
4128100000,경기도,고양시 덕양구,126.8341972,37.63458333
4128500000,경기도,고양시 일산동구,126.7770556,37.65590833
4128700000,경기도,고양시 일산서구,126.7527778,37.67248611
4129000000,경기도,과천시,126.9898,37.42637222
4131000000,경기도,구리시,127.1318639,37.591625
4136000000,경기도,남양주시,127.2186333,37.63317778
4137000000,경기도,오산시,127.0796417,37.14691389
